rank,bracket,horse_num,sex_age,weight_constraint,jockey,odds,popularity,horse_weight,trainer,race_id,prev_rank,rest_days,weather,track,sire,bms,lineage,prev1_relative_last3f,prev2_relative_last3f,prev3_relative_last3f,prev1_passage_num,prev2_passage_num,prev3_passage_num,is_long_trip,is_stay,weight_delta,weight_ratio,sire_track_interaction
1.0,7.0,13.0,7,56.0,145,27.7,9.0,500.0,302,202505050211,1.0,63.0,3,2,104,73,5,50.0,50.0,50.0,1.0,3.0,7.0,1,0,1.0,0.11199999776000005,212
1.0,1.0,2.0,12,54.0,47,5.3,2.0,526.0,208,202306030210,1.0,90.0,4,0,140,257,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10266159500643356,292
1.0,6.0,12.0,22,57.0,134,5.8,3.0,504.0,210,202410020411,1.0,155.0,2,2,63,275,13,50.0,50.0,50.0,2.0,7.0,7.0,1,0,1.0,0.113095235851285,117
1.0,4.0,4.0,21,55.0,178,16.3,8.0,544.0,292,202309050211,1.0,217.0,2,2,154,257,12,50.0,50.0,50.0,4.0,7.0,7.0,0,0,-3.0,0.10110293931796067,322
1.0,7.0,14.0,20,55.0,253,2.6,1.0,500.0,360,202408060609,1.0,90.0,3,2,191,36,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10999999780000005,409
1.0,4.0,5.0,12,53.0,30,16.7,7.0,454.0,199,202401010311,1.0,90.0,3,2,89,257,5,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.11674008553435936,176
1.0,4.0,4.0,5,57.0,257,3.4,2.0,510.0,335,202448022910,1.0,71.0,4,1,192,305,12,50.0,50.0,50.0,4.0,3.0,3.0,1,0,0.0,0.11176470369088817,411
1.0,1.0,2.0,20,56.0,245,8.0,5.0,498.0,318,202508040810,1.0,90.0,2,2,180,338,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.1124497969387591,383
1.0,8.0,16.0,21,58.0,46,7.7,3.0,478.0,308,202410020611,1.0,90.0,2,1,158,288,17,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.1213389095954203,333
1.0,1.0,1.0,7,57.0,119,2.3,1.0,489.0,120,202543012311,1.0,50.0,2,2,137,301,12,50.0,50.0,50.0,3.0,7.0,7.0,0,0,2.0,0.11656441479418375,287
1.0,1.0,1.0,22,60.0,249,2.1,1.0,490.0,276,202410030304,1.0,90.0,2,2,69,260,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.12244897709287803,132
1.0,1.0,2.0,21,54.0,108,16.5,8.0,480.0,276,202408010111,1.0,34.0,2,2,104,224,5,50.0,50.0,50.0,2.0,7.0,7.0,0,0,-1.0,0.11249999765625006,212
1.0,7.0,10.0,11,54.0,120,4.2,3.0,501.0,227,202345061411,1.0,90.0,3,1,25,148,14,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10778442898633875,42
1.0,2.0,4.0,21,56.0,7,2.5,1.0,502.0,208,202306020210,1.0,90.0,2,2,124,229,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11155378263837087,252
1.0,6.0,8.0,20,56.0,29,1.3,1.0,500.0,162,202548011611,1.0,44.0,2,2,140,226,0,50.0,50.0,50.0,7.0,7.0,7.0,0,0,1.0,0.11199999776000005,294
1.0,7.0,7.0,3,55.0,62,12.8,6.0,500.0,48,202343122011,1.0,90.0,2,2,175,293,14,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10999999780000005,374
